"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-01",100.668,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-02",100.7777,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-03",100.8075,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-04",100.7725,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-05",100.6897,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-06",100.5904,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-07",100.5029,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-08",100.4525,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-09",100.4333,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-10",100.4414,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-11",100.4676,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2004-12",100.5041,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-01",100.5245,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-02",100.5103,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-03",100.4469,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-04",100.3387,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-05",100.2259,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-06",100.1492,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-07",100.113,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-08",100.0958,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-09",100.105,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-10",100.146,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-11",100.219,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-12",100.3065,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-01",100.4017,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-02",100.5199,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-03",100.6509,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-04",100.7826,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-05",100.9019,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-06",101.0365,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-07",101.175,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-08",101.3004,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-09",101.4119,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-10",101.5093,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-11",101.5981,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-12",101.68,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-01",101.7558,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-02",101.8253,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-03",101.8802,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-04",101.9109,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-05",101.9183,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-06",101.8847,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-07",101.802,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-08",101.6774,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-09",101.5218,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-10",101.3251,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-11",101.0711,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-12",100.7705,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-01",100.4419,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-02",100.1012,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-03",99.74927,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-04",99.32336,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-05",98.8057,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-06",98.19215,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-07",97.50944,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-08",96.79385,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-09",96.07011,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-10",95.3968,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-11",94.88986,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-12",94.63499,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-01",94.63595,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-02",94.90506,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-03",95.4292,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-04",96.19016,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-05",97.09811,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-06",98.08404,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-07",99.09309,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-08",100.0706,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-09",100.9354,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-10",101.6367,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-11",102.1297,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-12",102.4252,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-01",102.5549,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-02",102.5459,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-03",102.4161,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-04",102.1931,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-05",101.9072,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-06",101.6012,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-07",101.3117,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-08",101.0809,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-09",100.9165,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-10",100.8053,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-11",100.7342,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-12",100.688,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-01",100.6459,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-02",100.5908,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-03",100.4887,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-04",100.3199,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-05",100.0935,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-06",99.78764,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-07",99.42744,
